"Thomas Drive","Emilymouth","21283295483.87"
"Catherine Rapid","Charlesville","69918610283.45"
"Victoria Falls","New Amy","77525060417.51"
"Tracy Garden","West Maryville","58270925561.06"
"Maria Brooks","South Sabrina","7740232407.96"
"Julia Drives","West Kristy","26318397307.79"
"Lopez Isle","Laurabury","605685379.78"
"Scott Island","Port Jasonside","49718834824.51"
"Mcfarland Rapids","Grantstad","21553841798.81"
"George Village","Beckshire","55467243456.45"
"Amanda Cliffs","Lawrencehaven","68373578282.42"
"Roberts Brooks","North Steven","7141125183.71"
"Andre Hills","New Jonathanburgh","24490182946.02"
"Coleman Plains","South Pamelamouth","61833621428.19"
"Norma Bridge","Rodriguezchester","81896738135.39"
"Sanders Burg","East Rickymouth","82563533233.61"
"Williams Station","Harrellville","40929644790.96"
"Carter Underpass","South Veronicaland","62937429444.88"
"Crystal Centers","North Jennifer","39870353758.28"
"Robert Plains","New Frank","19865322230.59"
